event_id,company_ticker,company_name,sector_gics,impact_channel,quarter,mention_text,mention_sentiment,management_action_described,revenue_delta_pct,cogs_delta_pct,operating_income_delta_pct,capex_delta_pct,car_1_5,car_1_30,source,confidence,labeled_by,human_reviewed,notes
us_chip_export_oct2022,EOG,,,innovation_ip,,,-0.3,,,,,,-0.0484,0.1226,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2022,LOW,,,innovation_ip,,,-0.3,,,,,,-0.0418,-0.0713,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2022,SCHW,,,innovation_ip,,,-0.3,,,,,,-0.0717,0.0638,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,ADM,,,innovation_ip,,,-0.3,,,,,,-0.0762,-0.0117,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,COP,,,innovation_ip,,,-0.3,,,,,,-0.0439,-0.0744,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,CVX,,,innovation_ip,,,-0.3,,,,,,-0.0653,-0.1345,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,EOG,,,innovation_ip,,,-0.3,,,,,,-0.0325,-0.0684,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,INTC,,,innovation_ip,,,-0.3,,,,,,-0.0408,0.0965,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,LOW,,,innovation_ip,,,-0.3,,,,,,-0.0546,0.0266,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,SCHW,,,innovation_ip,,,-0.3,,,,,,-0.0719,0.0252,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,SWK,,,innovation_ip,,,-0.3,,,,,,-0.053,0.0625,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,TXN,,,innovation_ip,,,-0.3,,,,,,-0.0476,-0.0192,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
us_chip_export_oct2023,UPS,,,innovation_ip,,,-0.3,,,,,,-0.05,-0.0785,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.57
red_sea_houthi_2023,AMAT,,,procurement_supply_chain,,"the availability of raw materials, including critical materials and critical minerals, and increases and volatility of commodity, energy and shipping costs;,the availability of raw materials, including critical materials and critical minerals, and increases and volatility of commodity, energy and sh",0.1,,,,,,0.0006,-0.053,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.65
red_sea_houthi_2023,COST,,,procurement_supply_chain,,"We buy most of our merchandise directly from suppliers and route it to cross-docking consolidation points (depots) or directly to our warehouses. Our depots receive large shipments from suppliers and ,We depend on the orderly operation of the merchandise receiving and distribution process, primarily",0.1,,,,,,0.0194,0.0621,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.50
red_sea_houthi_2023,MU,,,logistics_operations,,"The rapid proliferation of AI, cloud computing, and big data are fueling demand for high-performance and high-capacity storage in data centers. In 2025, we qualified and began shipping our 9550 series,Our R&D efforts are focused primarily on development of memory and storage solutions, including our",0.1,,,,,,0.0624,0.0243,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
red_sea_houthi_2023,PM,,,procurement_supply_chain,,"Our cost of sales consists principally of: tobacco leaf, non-tobacco raw materials, labor and manufacturing costs; shipping and handling costs; and the cost of devices produced by third-party electron,Our cost of sales consists principally of: tobacco leaf, non-tobacco raw materials, labor and manuf",-0.3,,,,,,-0.0025,0.0058,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.65
red_sea_houthi_2023,UPS,,,procurement_supply_chain,,"billion consolidated goodwill balance is represented by our Global Freight Forwarding (""GFF"") and HLD reporting units, respectively, which, based on our annual impairment evaluation, are exhibiting a ,Approximately $877 and $726 million of our $4.8 billion consolidated goodwill balance is represente",-0.3,,,,,,-0.0288,-0.0514,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.65
us_tariffs_2025,ABNB,,,procurement_supply_chain,,"As the impact of the macroeconomic and geopolitical conditions, including inflation, interest rates, foreign currency fluctuations, tariffs, and trade controls continue to evolve, estimates and assump,As the impact of the macroeconomic and geopolitical conditions, including inflation, interest rates",-0.3,,,,,,-0.0121,0.0099,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,AMAT,,,procurement_supply_chain,,"See “Risk Factors – Business and Industry Risks – Global trade issues and changes in and uncertainties with respect to trade policies and export regulations, including import and export license requir,Global trade issues and changes in and uncertainties with respect to trade policies and export regu",0.1,,,,,,0.0134,0.0082,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.88
us_tariffs_2025,AMGN,,,procurement_supply_chain,,"of this Quarterly Report on Form 10-Q for further discussion. While existing tariffs have not had a material adverse effect on our results of operations for the nine months ended September 30, 2025, c,Executive orders issued by the Administration in July 2025 that raised or modified country-specific",-0.3,,,,,,-0.0478,-0.0717,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,AMZN,,,procurement_supply_chain,,"government regulation (such as regulation of our product and service offerings and of competition); restrictive governmental actions (such as trade protection or retaliatory measures, including export,laws and policies of the U.S. and other jurisdictions affecting trade (such as tariff policy change",-0.3,,,,,,-0.025,-0.0296,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,BA,,,procurement_supply_chain,,"tariffs, duties or penalties attributable to the importation of raw materials, parts, products and services, which could impact sales and/or delivery of products and services outside the U.S. and/or i,tariffs. We are mitigating import costs through Duty Drawback Customs procedures. Overall, the U.S.",-0.3,,,,,,-0.0459,0.085,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,BRK-B,,,procurement_supply_chain,,"Changes in macroeconomic conditions and geopolitical events, including changes in international trade policies and tariffs, may negatively affect our operating results and the values of our investment,Changes in macroeconomic conditions and geopolitical events, including changes in international tra",-0.3,,,,,,-0.0303,-0.0139,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,CL,,,procurement_supply_chain,,"Tariffs (or the threat thereof), inflationary pressures, economic and geopolitical uncertainty and high interest rates have negatively impacted and may continue to negatively impact consumer sentiment,Tariffs (or the threat thereof), inflationary pressures and high interest rates have negatively imp",-0.3,,,,,,-0.0355,-0.0251,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,COST,,,procurement_supply_chain,,"Government actions in various countries relating to tariffs affect the costs of some of our merchandise. The degree of our exposure is dependent on (among other things) the type of goods, rates impose,Government actions in various countries relating to tariffs affect the costs of some of our merchan",0.1,,,,,,0.0001,0.0352,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,CSCO,,,procurement_supply_chain,,"Challenging global economic conditions, including tariffs or other trade barriers, rising inflation, or other changes, have from time to time contributed, and may continue to contribute, to slowdowns ,Increased costs (including those caused by tariffs or economic conditions, including inflation), lo",-0.3,,,,,,-0.0534,-0.0536,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,DE,,,procurement_supply_chain,,"During 2025, new tariffs were imposed in the U.S. for imports from a broad range of countries and materials. Certain countries also implemented or proposed retaliatory tariffs on imports from the U.S.,Trade policies impact us in various ways. We are a net exporter of agriculture and turf equipment f",-0.3,,,,,,-0.0389,0.0194,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,DUK,,,procurement_supply_chain,,"Industrial, commercial and residential decline in service territories or customer bases resulting from sustained downturns of the economy, storm damage, reduced customer usage due to cost pressures fr,Industrial, commercial and residential decline in service territories or customer bases resulting f",-0.3,,,,,,-0.0339,0.0078,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,GE,,,procurement_supply_chain,,"changes in law, regulation or policy that may affect our businesses, such as trade policy and tariffs; government defense priorities or budgets; regulation, incentives and emissions offsetting or trad,As we operate in a highly dynamic tariff environment, we are focused on continuing to deliver our p",-0.3,,,,,,-0.0626,0.0192,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.87
us_tariffs_2025,HD,,,procurement_supply_chain,,"We continue to monitor developments with respect to tariffs and other trade policy matters closely. We have worked, and continue to work, diligently to diversify our global supply chain. We believe ou,We are closely monitoring developments with respect to tariffs and other trade policy matters. Over",-0.3,,,,,,-0.0418,-0.0339,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,HON,,,procurement_supply_chain,,"Prices of certain key raw materials are expected to fluctuate. We offset potential raw material cost increases with formula-driven or long-term supply agreements, price increases, and hedging activiti,Prices of certain key raw materials are expected to fluctuate. We offset potential raw material cos",-0.3,,,,,,-0.0782,-0.0243,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.87
us_tariffs_2025,JNJ,,,procurement_supply_chain,,"Potential changes in export/import and trade laws, regulations and policies of the United States and other countries, including any increased trade restrictions or tariffs and potential drug reimporta,Potential changes in export/import and trade laws, regulations and policies of the United States an",-0.3,,,,,,-0.0283,-0.0058,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,KLAC,,,procurement_supply_chain,,"export technology, political instability, trade restrictions, changes in tariffs and the difficulties associated with staffing and managing international operations. In addition, international sales m,The recent imposition of tariffs by the U.S. government (“U.S. Tariffs”), along with countermeasure",0.1,,,,,,0.0249,-0.0144,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.98
us_tariffs_2025,LOW,,,procurement_supply_chain,,"During the year, the United States has enacted significant changes to its trade policy and imposed tariffs on imported goods from a number of countries.  The Company has been,",-0.3,,,,,,-0.0513,-0.0501,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.87
us_tariffs_2025,LRCX,,,procurement_supply_chain,,"The increase in gross margin as a percentage of revenue in the September 2025 quarter compared to the June 2025 quarter was primarily a result of favorable changes in customer mix, partially offset by,in the September 2025 quarter compared to the June 2025 quarter driven by favorable changes in cust",-0.3,,,,,,-0.0362,-0.0278,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,MDLZ,,,procurement_supply_chain,,"Our net revenue growth and profitability may be affected as we adjust prices to address new conditions, such as increasing input and operating costs due to supply, transportation and labor constraints,We are subject to risks from changes to the trade policies and tariff and import/export regulations",0.1,,,,,,0.0009,0.0263,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,PG,,,procurement_supply_chain,,"We also have businesses and maintain local currency cash balances in a number of countries with currency exchange, import authorization, pricing or other controls or restrictions. Our results of opera,Our costs are subject to fluctuations, particularly due to changes in the prices of commodities (in",-0.3,,,,,,-0.0424,-0.0503,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,QCOM,,,procurement_supply_chain,,"Further, political actions, including trade and/or national security protection policies (for example, tariffs and other controls on imports or exports), or other actions by governments, particularly ,Political actions, including trade protection and national security policies of the U.S. and Chines",-0.3,,,,,,-0.0681,-0.1225,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.87
us_tariffs_2025,RTX,,,procurement_supply_chain,,"The global trade environment is highly dynamic. Since February 2025, the U.S. government has imposed tariffs on imports from all countries with which the U.S. engages in trade. In response, certain co,goods subject to U.S. imposed tariffs, as well as goods subject to counter tariffs imposed by other",-0.3,,,,,,-0.0354,-0.0431,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,SYK,,,procurement_supply_chain,,"new tariffs on goods imported into the United States from dozens,reciprocal tariffs or taken other measures, and the United States,continue to monitor and evaluate the situation. Tariffs are,geopolitical environment, including tariffs or changes in trade,new tariffs on goods imported into the United",-0.3,,,,,,-0.0384,-0.0092,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,TJX,,,procurement_supply_chain,,"tariffs, duties, border adjustment taxes, trade restrictions, sanctions, quotas and voluntary export restrictions on imported merchandise;,tariffs, duties, border adjustment taxes, trade restrictions, sanctions, quotas and voluntary export restrictions on imported merchandise;",0.1,,,,,,0.009,0.0216,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
us_tariffs_2025,ZTS,,,procurement_supply_chain,,"modification of foreign trade policy by the U.S. or other countries, including the imposition of increased tariffs on imported or exported goods;",-0.3,,,,,,-0.0609,-0.0448,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.81
eu_energy_crisis_peak,F,,,procurement_supply_chain,,"We purchase a wide variety of raw materials from numerous suppliers around the world for use in the production of, and development of technologies in, our vehicles.  These materials include base metal,We purchase a wide variety of raw materials from numerous suppliers around the world for use in the",-0.3,,,,,,-0.0162,-0.2219,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.77
eu_energy_crisis_peak,GE,,,procurement_supply_chain,,"changes in macroeconomic and market conditions and market volatility, including risk of recession, inflation, supply chain constraints or disruptions, interest rates, the value of securities and other,changes in macroeconomic and market conditions and market volatility, including risk of recession, ",-0.3,,,,,,-0.0377,-0.144,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.84
covid_lockdown_start,AEP,,,procurement_supply_chain,,"The Registrants have experienced certain supply chain disruptions driven by several factors including international tensions and the ramifications of regional conflict, inflation, labor shortages in c,The Registrants have experienced certain supply chain disruptions driven by several factors includi",-0.3,,,,,,-0.016,-0.0716,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.50
notpetya_2017,TJX,,,procurement_supply_chain,,"As is common in the retail industry, our IT systems, as well as those of our suppliers, service providers and other third parties whose information technology systems we utilize directly or indirectly,As is common in the retail industry, our IT systems, as well as those of our suppliers, service pro",0.1,,,,,,0.0174,-0.0213,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.50
india_demonetization_2016,ADM,,,revenue_market_access,,,-0.3,,,,,,-0.082,-0.0459,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
india_demonetization_2016,SO,,,revenue_market_access,,,-0.3,,,,,,-0.0477,-0.0603,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
chile_lithium_nationalization,ADM,,,revenue_market_access,,,-0.3,,,,,,-0.0369,-0.096,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
chile_lithium_nationalization,INTC,,,revenue_market_access,,,-0.3,,,,,,-0.0324,-0.0343,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
chile_lithium_nationalization,QCOM,,,revenue_market_access,,,-0.3,,,,,,-0.0398,-0.0984,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
chile_lithium_nationalization,SCHW,,,revenue_market_access,,,-0.3,,,,,,-0.042,-0.0366,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
panama_mine_closure_2023,MU,,,revenue_market_access,,,-0.3,,,,,,-0.0319,0.1385,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.66
covid_lockdown_start,HII,,,logistics_operations,,,-0.3,,,,,,-0.1291,-0.0563,event_study,medium,weak_supervision_snorkel,0,Snorkel confidence=0.68
